Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
IFMDF,INFOMEDIA LTD,Pink Current,0.570000,,0,Foreign Ordinary Shares,Australia,
CHEOF,COCHLEAR PLC ORD,Pink Current,167.250000,4.531300,62,Foreign Ordinary Shares,Australia,New South Wales
CHEOY,COCHLEAR PLC UNSP/ADR,Pink Current,83.060000,0.898900,3289,ADRs,Australia,New South Wales
GBNLF,GLOBE INTL LTD,Pink Current,0.400000,,0,Foreign Ordinary Shares,Australia,
QBEIF,QBE INSURANCE GRP LTD,Pink Current,8.800000,,0,Foreign Ordinary Shares,Australia,
QBIEY,QBE INSURANCE GP S/ADR,Pink Current,8.900000,0.000000,37308,ADRs,Australia,
ADBCF,ADBRI LIMITED,Pink Current,2.340000,,0,Foreign Ordinary Shares,Australia,
ADLDY,ADBRI LIMITED  UNS/ADR,Pink Current,10.180000,,0,ADRs,Australia,
AINSF,AINSWORTH GAME TECH LTD,Pink Current,0.950000,-9.523800,29183,Foreign Ordinary Shares,Australia,
MCRZF,MINCOR RES NL,Pink Current,1.030000,-1.435400,1000,Foreign Ordinary Shares,Australia,
IAUGF,INSURANCE AUSTRALIA GROUP,Pink Current,3.350000,,72,Foreign Ordinary Shares,Australia,New South Wales
IAUGY,INSURANCE AUSRLA UNSP/ADR,Pink Current,19.130000,,0,ADRs,Australia,New South Wales
CMXHF,CSL LTD,Pink Current,221.000000,-1.652100,7,Foreign Ordinary Shares,Australia,Victoria
CSLLY,CSL LTD SP/ADR,Pink Current,111.000000,0.516200,19986,ADRs,Australia,Victoria
GUDDY,G U D HOLDINGS UNSP/ADR,Pink Current,13.000000,,0,ADRs,Australia,Victoria
GUDHF,G U D HOLDINGS,Pink Current,6.750000,,0,Foreign Ordinary Shares,Australia,Victoria
BLSFF,BLUESCOPE STEEL LTD,Pink Current,16.500000,,0,Foreign Ordinary Shares,Australia,Victoria
BLSFY,BLUESCOPE STL UNS/ADR NEW,Pink Current,77.400000,0.558700,2343,ADRs,Australia,Victoria
AJLGF,AJ LUCAS GROUP LTD,Pink Current,0.040000,,0,Foreign Ordinary Shares,Australia,New South Wales
MCQEF,MACQUARIE GRP LTD,Pink Current,145.000000,,0,Foreign Ordinary Shares,Australia,New South Wales
MQBKY,MACQUARIE GROUP LTD S/ADR,Pink Current,149.080000,0.995900,3264,ADRs,Australia,New South Wales
STUUF,STREETTRACKS S&P/ASX 200,Pink Current,9.750000,,0,Fund,Australia,
RMGGF,RESOLUTE MINING LTD,Pink Current,0.323000,-2.121200,7240,Foreign Ordinary Shares,Australia,Western Australia
RMGGY,RESOLUTE MINING S/ADR,Pink Current,3.872000,,0,ADRs,Australia,Western Australia
COPJF,COOPER ENERGY LTD ORD,Pink Current,0.210000,,0,Foreign Ordinary Shares,Australia,
ATHJF,ANTISENSE THERAPEUTICS,Pink Current,0.227460,1.635400,1500,Foreign Ordinary Shares,Australia,Victoria
ATHJY,ANTISENSE THERAPTCS S/ADR,Pink Current,0.750000,,0,ADRs,Australia,Victoria
CAUFF,CAPRAL LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,
EDESY,ELDERS LTD UNSP/ADR,Pink Current,39.450000,,0,ADRs,Australia,South Australia
CVONF,CARNARVON PETROLEUM LTD,Pink Current,0.240000,,0,Foreign Ordinary Shares,Australia,Western Australia
HNORF,HARVEY NORMAN HLDGS LTD,Pink Current,0.000000,,5400,Foreign Ordinary Shares,Australia,New South Wales
HNORY,HARVEY NRMN HDGS UNSP/ADR,Pink Current,21.410000,,0,ADRs,Australia,New South Wales
AELTF,ADACEL TECHS LTD,Pink Current,1.020000,,0,Foreign Ordinary Shares,Australia,
AMLTF,AMP LTD,Pink Current,0.788000,,0,Foreign Ordinary Shares,Australia,
AMLYY,AMP LIMITED S/ADR,Pink Current,3.370000,-3.988600,369,ADRs,Australia,
KSKGF,KINGSGATE CONS NL,Pink Current,1.210000,-5.468800,6175,Foreign Ordinary Shares,Australia,New South Wales
MRVGF,MIRVAC GROUP,Pink Current,2.180000,-0.909100,42754,Foreign Ordinary Shares,Australia,New South Wales
OZMLF,OZ MINERALS LTD ORD,Pink Current,19.890000,,0,Foreign Ordinary Shares,Australia,Victoria
WFAFF,WESFARMERS LTD OLD,Pink Current,43.260000,,0,Foreign Ordinary Shares,Australia,
WFAFY,WESFARMERS LTD UNSP/ADR,Pink Current,21.430000,3.576600,25860,ADRs,Australia,
SNMCY,SUNCORP GROUP LTD S/ADR,Pink Current,9.290000,-0.906700,2884,ADRs,Australia,
SNMYF,SUNCORP GROUP LTD ORD,Pink Current,8.950000,,14,Foreign Ordinary Shares,Australia,
ASXFF,ASX LTD ORD,Pink Current,60.150000,,10,Foreign Ordinary Shares,Australia,New South Wales
ASXFY,ASX LTD UNSP/ADR,Pink Current,61.190000,0.973600,5977,ADRs,Australia,New South Wales
EOPSF,ELECTRO OPIC SYS LTD ORD,Pink Current,2.680000,,0,Foreign Ordinary Shares,Australia,New South Wales
EOPSY,ELECTRO OPIC SYS S/ADR,Pink Current,8.600000,,0,ADRs,Australia,New South Wales
SKHCF,SONIC HEALTHCARE LTD,Pink Current,29.470000,,40,Foreign Ordinary Shares,Australia,New South Wales
SKHHY,SONIC HEALTHCARE SP/ADR,Pink Current,29.710000,-0.568900,12339,ADRs,Australia,New South Wales
GRCLF,GRAINCORP LTD,Pink Current,4.625000,-3.846200,325,Foreign Ordinary Shares,Australia,
GRNCY,GRAINCORP LTD UNSP/ADR,Pink Current,0.000000,,0,ADRs,Australia,
ELVUF,ELEVATE URANIUM LTD,Pink Current,0.420000,0.000000,26538,Foreign Ordinary Shares,Australia,
WYGPF,WORLEY LTD,Pink Current,7.810000,,0,Foreign Ordinary Shares,Australia,
WYGPY,WORLEY LTD UNSP/ADR,Pink Current,8.340000,,98,ADRs,Australia,
MTIRF,MITHRIL RES LTD ORD,Pink Current,0.305000,,0,Foreign Ordinary Shares,Australia,South Australia
PANRF,PANORAMIC RES LTD ORD,Pink Current,0.175950,,0,Foreign Ordinary Shares,Australia,Western Australia
DGMLF,DE GREY MINING LTD,Pink Current,0.815300,-8.393300,23878,Foreign Ordinary Shares,Australia,Western Australia
DNERF,DOWNER EDI LTD ORD,Pink Current,5.200000,,0,Foreign Ordinary Shares,Australia,
DNERY,DOWNER EDI LTD UNSP/ADR,Pink Current,14.900000,,0,ADRs,Australia,
RMSYF,RAMSAY HEALTH CARE LTD,Pink Current,50.092000,,0,Foreign Ordinary Shares,Australia,New South Wales
RMYHY,RAMSAY HEALTH CAR UNS/ADR,Pink Current,12.510000,,0,ADRs,Australia,New South Wales
HEGLF,PEAK MINERALS LTD,Pink Current,0.013500,,0,Foreign Ordinary Shares,Australia,New South Wales
IOOFF,IOOF HOLDINGS LTD ORD,Pink Current,3.280000,,0,Foreign Ordinary Shares,Australia,Victoria
JBHHY,JB HI-FI LTD UNSP/ADR,Pink Current,0.000000,,0,ADRs,Australia,Victoria
JBHIF,JB HI FI LTD ORD,Pink Current,0.000000,,550,Foreign Ordinary Shares,Australia,Victoria
BYOGF,BOUNTY OIL ORD,Pink Current,0.008000,,0,Foreign Ordinary Shares,Australia,
ICPVF,INCITEC PIVOT LTD ORD,Pink Current,2.190000,,0,Foreign Ordinary Shares,Australia,Victoria
INCZY,INCITEC PIVOT LTD S/ADR,Pink Current,2.240000,-0.554900,6243,ADRs,Australia,Victoria
AAYYY,AUSTRALIAN AGRCL UNSP/ADR,Pink Current,0.000000,,0,ADRs,Australia,Queensland
ASAGF,AUSTRALIAN AGRICULTURAL,Pink Current,1.135000,0.888900,2500,Foreign Ordinary Shares,Australia,Queensland
PMXSF,PHARMAXIS LTD ORD,Pink Current,0.065000,,0,Foreign Ordinary Shares,Australia,
TZLTF,TZ LTD ORD,Pink Current,0.065000,,0,Foreign Ordinary Shares,Australia,New South Wales
MPJFF,KAIROS MINERALS LTD ORD,Pink Current,0.022000,,0,Foreign Ordinary Shares,Australia,Western Australia
PCOGF,PANCONTINENTAL ENERGY NL,Pink Current,0.001900,1800.000000,45000,Foreign Ordinary Shares,Australia,
BITRF,BIOTRON LIMITED ORD,Pink Current,0.038500,,0,Foreign Ordinary Shares,Australia,New South Wales
DXPPY,DEXUS PPTY GROUP UNSP/ADR,Pink Current,0.000000,,0,ADRs,Australia,New South Wales
WANHY,SEVEN WEST MEDIA UNSP/ADR,Pink Current,0.000000,,0,ADRs,Australia,
ARBFF,ARB CORP LTD ORD NEW,Pink Current,37.445000,,0,Foreign Ordinary Shares,Australia,Victoria
MCHHF,MACMAHON HOLDINGS LTD ORD,Pink Current,0.146000,,0,Foreign Ordinary Shares,Australia,
TGGFF,TEMPLETON GLOBAL GRWTH FD,Pink Current,1.090000,,0,Foreign Ordinary Shares,Australia,Victoria
ADXRF,ADX ENERGY LTD,Pink Current,0.008000,,0,Foreign Ordinary Shares,Australia,
NURPF,NEUREN PHARMS LTD ORD,Pink Current,1.380000,,0,Foreign Ordinary Shares,Australia,
SHVTF,SELECT HARVESTS LTD ORD,Pink Current,6.200000,,0,Foreign Ordinary Shares,Australia,Victoria
ALSYY,ALS LTD UNSP/ADR,Pink Current,0.000000,,0,ADRs,Australia,
CPBLF,ALS LTD ORD,Pink Current,9.700000,,0,Foreign Ordinary Shares,Australia,
NHPEF,NEW HOPE CORP LTD ORD,Pink Current,1.765000,-2.486200,500,Foreign Ordinary Shares,Australia,Queensland
STKAF,STOCKLAND STAPLED SEC,Pink Current,3.320000,,0,Foreign Ordinary Shares,Australia,New South Wales
KSCNF,K & S  CORP LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,South Australia
MTGRF,MOUNT GIBSON IRON LTD ORD,Pink Current,0.370000,,0,Foreign Ordinary Shares,Australia,
MTGRY,MOUNT GIBSN IRON UNSP/ADR,Pink Current,3.530000,,0,ADRs,Australia,
MEOBF,MESOBLAST LTD ORD,Pink Current,1.170000,,0,Foreign Ordinary Shares,Australia,Victoria
GMGSF,GOODMAN GP SYDNEY STPLD,Pink Current,16.650000,4.323300,400,Other Security Type,Australia,New South Wales
BRCSF,BARRA RESOURCES LTD ORD,Pink Current,0.010000,,0,Foreign Ordinary Shares,Australia,
LVCLF,LIVING CELL TECHS LTD,Pink Current,0.007200,,0,Foreign Ordinary Shares,Australia,Victoria
DMZPY,DOMINO'S PIZZA UNSP/ADR,Pink Current,50.570000,,67,ADRs,Australia,Queensland
DPZUF,DOMINO'S PIZZA AUSTRALIA,Pink Current,100.080000,,0,Foreign Ordinary Shares,Australia,Queensland
MAYNF,MAYNE PHARMA ORD,Pink Current,0.258500,2.988000,7000,Foreign Ordinary Shares,Australia,South Australia
BKLRF,BERKELEY ENERGY LTD,Pink Current,0.237000,-8.846200,2500,Foreign Ordinary Shares,Australia,Western Australia
IAUFF,AIC MINES LTD,Pink Current,0.188500,,40,Foreign Ordinary Shares,Australia,Queensland
PEIMF,PEPINNINI MINERALS LTD,Pink Current,0.337600,16.013700,9585,Foreign Ordinary Shares,Australia,South Australia
SFDPF,SPARK INFSTR GRP STPL SEC,Pink Current,2.041000,,0,Foreign Ordinary Shares,Australia,New South Wales
WEBJF,WEBJET LTD ORD,Pink Current,4.590000,,0,Foreign Ordinary Shares,Australia,Victoria
WEJTY,WEBJET LTD UNSP/ADR,Pink Current,7.250000,,0,ADRs,Australia,Victoria
SAUNF,AUSNET SERVICES STPLD SEC,Pink Current,1.845000,,0,Foreign Ordinary Shares,Australia,Victoria
SOMNF,SOMNOMED LTD ORD,Pink Current,1.650000,,0,Foreign Ordinary Shares,Australia,New South Wales
CNPTF,CENTRAL PETROLEUM LTD,Pink Current,0.075000,,0,Foreign Ordinary Shares,Australia,Western Australia
RMLRF,RAMELIUS RES LTD ORD,Pink Current,1.160000,-3.333300,724,Foreign Ordinary Shares,Australia,Western Australia
TOEYF,TORO ENERGY LTD ORD,Pink Current,0.028000,-3.448300,480212,Foreign Ordinary Shares,Australia,
EOHDF,EMECO HOLDINGS LTD,Pink Current,0.840000,,0,Foreign Ordinary Shares,Australia,Western Australia
IUGNF,IMUGENE LTD ORD,Pink Current,0.336000,-1.176500,19270,Foreign Ordinary Shares,Australia,New South Wales
AGLNF,AGL ENERGY ORD,Pink Current,4.700000,,0,Foreign Ordinary Shares,Australia,
AGLXY,AGL ENERGY SP/ADR,Pink Current,4.550000,0.000000,600,ADRs,Australia,
BMBLF,BRAMBLES LTD ORD,Pink Current,7.800000,-0.636900,3000,Foreign Ordinary Shares,Australia,New South Wales
BXBLY,BRAMBLES LTD  SP/ADR,Pink Current,15.330000,-0.065200,44104,ADRs,Australia,New South Wales
PSDNF,POSEIDON NICKEL LTD ORD,Pink Current,0.079500,-11.666700,70000,Foreign Ordinary Shares,Australia,
PTNUF,PLATINA RESOURCES LTD ORD,Pink Current,0.049000,,0,Foreign Ordinary Shares,Australia,Queensland
WNARF,WESTERN AREAS NL ORD,Pink Current,2.460000,0.815500,760,Foreign Ordinary Shares,Australia,
ARUXF,ACRUX LTD ORD,Pink Current,0.085000,,0,Foreign Ordinary Shares,Australia,Victoria
ARAFF,ARAFURA RESOURCES NL,Pink Current,0.151000,-5.031400,23715,Foreign Ordinary Shares,Australia,Western Australia
EOGSF,EMERALD OIL & GAS NL ORD,Pink Current,0.550000,,0,Foreign Ordinary Shares,Australia,Western Australia
MLXEF,METALS X ORD,Pink Current,0.283050,-3.395900,2500,Foreign Ordinary Shares,Australia,Western Australia
GWAXF,GWA GROUP LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,Queensland
GWAXY,GWA GROUP LTD ADR,Pink Current,9.830000,,0,ADRs,Australia,Queensland
WHELF,SALT LAKE POTASH LTD ORD,Pink Current,0.074300,,0,Foreign Ordinary Shares,Australia,
COLDF,CARDNO LTD ORD,Pink Current,1.120000,15.463900,85817,Foreign Ordinary Shares,Australia,Queensland
RDFEF,BROOKSIDE ENERGY LTD ORD,Pink Current,0.019000,,0,Foreign Ordinary Shares,Australia,Western Australia
AGLDF,AUSTRAL GOLD LTD ORD,Pink Current,0.093500,9.613100,79831,Foreign Ordinary Shares,Australia,New South Wales
OCANF,OCEANAGOLD CORP,Pink Current,1.820000,-0.054900,37815,Foreign Ordinary Shares,Australia,Victoria
CNRAF,VICINITY CENTRES ORD,Pink Current,1.220000,,0,Foreign Ordinary Shares,Australia,Victoria
APAJF,APA GROUP STAPLED SEC,Pink Current,6.280000,,0,Foreign Ordinary Shares,Australia,New South Wales
MALRF,MINERAL RESOURCES LTD ORD,Pink Current,29.600000,-3.425800,1300,Foreign Ordinary Shares,Australia,Western Australia
MALRY,MINERAL RES LTD UNSP/ADR,Pink Current,30.900000,,104,ADRs,Australia,Western Australia
AUVGF,AUSTRALIAN VINTAGE ORD,Pink Current,0.550000,,0,Foreign Ordinary Shares,Australia,South Australia
GDLNF,GREENLAND MINERALS & ENGY,Pink Current,0.091100,-0.219100,96657,Foreign Ordinary Shares,Australia,Western Australia
BXRDF,AUSTRALIAN SILICA QUARTZ,Pink Current,0.086000,9.554100,16502,Foreign Ordinary Shares,Australia,Western Australia
UCMDF,USCOM LTD ORD,Pink Current,0.100000,,0,Foreign Ordinary Shares,Australia,New South Wales
BIRNF,BC IRON LTD ORD,Pink Current,0.300000,,0,Foreign Ordinary Shares,Australia,Western Australia
IMDXF,IMDEX LTD,Pink Current,1.950000,,3882,Foreign Ordinary Shares,Australia,
VTMLF,VENTURE MINERALS LTD ORD,Pink Current,0.036000,,0,Foreign Ordinary Shares,Australia,Western Australia
IPDQF,IMPEDIMED LTD ORD,Pink Current,0.130240,,0,Foreign Ordinary Shares,Australia,Queensland
NGELF,NGE CAP LTD,Pink Current,0.495000,,0,Foreign Ordinary Shares,Australia,Victoria
BRNGF,BURU ENERGY LTD ORD,Pink Current,0.082000,,0,Foreign Ordinary Shares,Australia,
CTXAF,AMPOL LTD.,Pink Current,20.260000,,0,Foreign Ordinary Shares,Australia,New South Wales
CTXAY,AMPOL LTD UNSP/ADR,Pink Current,46.060000,,273,ADRs,Australia,New South Wales
BVSFF,BRAVURA SOLUTIONS LTD,Pink Current,2.150000,,0,Foreign Ordinary Shares,Australia,New South Wales
POTTF,BUDDY TECHNOLOGIES LTD,Pink Current,0.011000,,0,Foreign Ordinary Shares,Australia,Western Australia
SVLKF,SILVER LAKE RES LTD ORD,Pink Current,1.230000,3.361300,3800,Foreign Ordinary Shares,Australia,Western Australia
OROCF,OROCOBRE LTD ORD,Pink Current,6.818500,0.567800,31704,Foreign Ordinary Shares,Australia,Queensland
CAULF,CAULDRON ENERGY LTD ORD,Pink Current,0.021920,-11.612900,55085,Foreign Ordinary Shares,Australia,Western Australia
WHITF,WHITEHAVEN COAL LTD,Pink Current,2.140000,-7.355300,21435,Foreign Ordinary Shares,Australia,New South Wales
WHITY,WHITEHAVEN COAL UNSP/ADR,Pink Current,0.000000,,0,ADRs,Australia,New South Wales
PMNXF,PERSEUS MINING LTD ORD,Pink Current,1.243614,-0.510900,500,Foreign Ordinary Shares,Australia,Western Australia
TASEF,TASMAN RESOURCES NL ORD,Pink Current,0.018000,,0,Foreign Ordinary Shares,Australia,Western Australia
CAHPF,EVOLUTION MINING LTD ORD,Pink Current,2.830000,-1.736100,21560,Foreign Ordinary Shares,Australia,New South Wales
EVMNY,EVOLUTION MIN UNSP/ADR,Pink Current,0.000000,,0,ADRs,Australia,New South Wales
MDSMF,MEDUSA MINING LTD ORD,Pink Current,0.583200,,0,Foreign Ordinary Shares,Australia,Western Australia
MAQAF,ATLAS ARTERIA LTD,Pink Current,4.580000,,0,Foreign Ordinary Shares,Australia,Victoria
SKLTF,SEEK LTD ORD,Pink Current,21.400000,,0,Foreign Ordinary Shares,Australia,Victoria
SKLTY,SEEK LTD UNSP/ADR,Pink Current,44.500000,,0,ADRs,Australia,Victoria
ELTLF,ELEMENTOS LTD ORD,Pink Current,0.015000,,0,Foreign Ordinary Shares,Australia,Queensland
BVILF,BREVILLE GROUP LTD,Pink Current,23.600000,,0,Foreign Ordinary Shares,Australia,New South Wales
BVILY,BREVILLE GRP UNSP/ADR,Pink Current,46.500000,,0,ADRs,Australia,New South Wales
TSRUF,PACIFIC CURRENT GROUP ORD,Pink Current,4.410000,,0,Foreign Ordinary Shares,Australia,New South Wales
QTCI,QUANTUM CAPITAL INC,Pink Current,0.110500,-0.540100,250,Common Stock,Australia,Queensland
BCHEY,BEACH ENERGY LTD UNSP/ADR,Pink Current,21.530000,,75,ADRs,Australia,
BEPTF,BEACH PETROLEUM LTD,Pink Current,1.030000,0.000000,15000,Foreign Ordinary Shares,Australia,
KRNGF,KAROON GAS AUSTRALIA ORD,Pink Current,1.260000,-4.545500,1250,Foreign Ordinary Shares,Australia,Victoria
KRNGY,KAROON GAS AUSTLA UNS/ADR,Pink Current,1.450000,,0,ADRs,Australia,Victoria
RDRUY,NEOMETALS LTD S/ADR,Pink Current,6.620000,-1.998500,3650,ADRs,Australia,Western Australia
RRSSF,NEOMETALS LTD ORD,Pink Current,0.670000,-1.470600,14000,Foreign Ordinary Shares,Australia,Western Australia
MOPHY,MONADELPHOUS GRP UNSP/ADR,Pink Current,6.600000,,0,ADRs,Australia,Western Australia
IRNRF,IRON ROAD LTD ORD,Pink Current,0.141600,,0,Foreign Ordinary Shares,Australia,South Australia
KMLXF,RESPIRI LTD ORD,Pink Current,0.060600,,0,Foreign Ordinary Shares,Australia,Victoria
MLMZF,METALLICA MINERALS LTD,Pink Current,0.019800,,0,Foreign Ordinary Shares,Australia,Queensland
ELKMF,GOLD ROAD RES LTD ORD,Pink Current,0.990000,,0,Foreign Ordinary Shares,Australia,
ALKEF,ALKANE RES LTD ORD,Pink Current,0.653300,-1.759400,500,Foreign Ordinary Shares,Australia,Western Australia
NNCSF,NANOSONICS LTD ORD,Pink Current,4.950000,,0,Foreign Ordinary Shares,Australia,New South Wales
AZNNY,AURIZON HLDGS SPNS/ADR,Pink Current,10.930000,,0,ADRs,Australia,Queensland
QRNNF,AURIZON HOLDINGS LTD,Pink Current,2.870000,,0,Foreign Ordinary Shares,Australia,Queensland
LYRTF,CIRRUS NETWORKS HLDG LTD,Pink Current,0.021000,,0,Foreign Ordinary Shares,Australia,Queensland
DNKLY,DANAKALI LTD S/ADR,Pink Current,0.350000,0.000000,43947,ADRs,Australia,
SBMSF,DANAKALI LTD ORD,Pink Current,0.363000,1.114200,63483,Foreign Ordinary Shares,Australia,
REDLF,RED 5 LIMITED,Pink Current,0.179000,,0,Foreign Ordinary Shares,Australia,Western Australia
TSRYF,TREASURY WINE EST ORD,Pink Current,8.520000,,0,Foreign Ordinary Shares,Australia,Victoria
TSRYY,TREASURY WINE EST S/ADR,Pink Current,8.690000,0.000000,15066,ADRs,Australia,Victoria
ADPXY,AUDIO PIXELS HLDGS S/ADR,Pink Current,18.895000,,0,ADRs,Australia,New South Wales
BXRBF,BENDIGO & ADELAIDE BL ORD,Pink Current,6.860000,,0,Foreign Ordinary Shares,Australia,Victoria
EEENF,88 ENERGY LTD,Pink Current,0.020700,-4.166700,87636593,Foreign Ordinary Shares,Australia,Western Australia
PHYRF,PURE HYDROGEN CORP CDI,Pink Current,0.220000,,0,Other Security Type,Australia,New South Wales
STRXF,PURE HYDROGEN CORP LTD.,Pink Current,0.012100,,0,Foreign Ordinary Shares,Australia,New South Wales
CSXXY,CARSALES.COM LTD UNSP/ADR,Pink Current,37.235000,0.269300,400,ADRs,Australia,Victoria
CWGYF,CARNEGIE CLEAN ENERGY LTD,Pink Current,0.001800,0.000000,22105632,Foreign Ordinary Shares,Australia,Western Australia
LRSRF,LATIN RESOURCES LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,Western Australia
NWSTF,NEW STANDARD ENERGY ORD,Pink Current,0.007900,,9,Foreign Ordinary Shares,Australia,Western Australia
SINC,SINCERITY APPLIED MAT CP,Pink Current,0.750000,,0,Common Stock,Australia,Victoria
SRHYY,SYRAH RES LTD SPNS/ADR,Pink Current,0.670000,,0,ADRs,Australia,Victoria
SYAAF,SYRAH RESOURCES LTD,Pink Current,0.839750,-1.310400,13599,Foreign Ordinary Shares,Australia,Victoria
SAREF,SABRE RESOURCES LTD,Pink Current,0.003800,,0,Foreign Ordinary Shares,Australia,Western Australia
OSTIY,OSTERREICHISCHE PST S/ADR,Pink Current,22.338000,-3.298700,400,ADRs,Australia,
IVIXF,INVION LTD ORD,Pink Current,0.009450,-7.352900,25000,Foreign Ordinary Shares,Australia,
OGDCF,OCEANAGOLD CORP CDI,Pink Current,1.910000,1.595700,193,Foreign Ordinary Shares,Australia,Victoria
BYROF,BYRON ENERGY LTD ORD,Pink Current,0.107000,,0,Foreign Ordinary Shares,Australia,Victoria
NIROF,SPORTSHERO LTD,Pink Current,0.023900,,0,Foreign Ordinary Shares,Australia,Western Australia
NESRF,NORTHERN STAR RES LTD,Pink Current,7.100000,-1.798100,10818,Foreign Ordinary Shares,Australia,Western Australia
PGNYF,HARTSHEAD RES NL,Pink Current,0.021000,,0,Foreign Ordinary Shares,Australia,Western Australia
CTMLF,CORPORATE TRAVEL MGMT LTD,Pink Current,15.060000,,0,Foreign Ordinary Shares,Australia,
ORRAF,ORORA LTD,Pink Current,2.240000,,0,Foreign Ordinary Shares,Australia,Victoria
ORRYY,ORORA LTD UNSP/ADR,Pink Current,18.000000,,0,ADRs,Australia,Victoria
RPGRF,REA GROUP LTD ORD,Pink Current,77.280000,,0,Foreign Ordinary Shares,Australia,Victoria
RPGRY,REA GROUP LTD UNSP/ADR,Pink Current,11.500000,,0,ADRs,Australia,Victoria
YBRHF,YELLOW BRICK ROAD HLDGS,Pink Current,0.055000,,0,Foreign Ordinary Shares,Australia,New South Wales
STGPF,SCENTRE GROUP STAPLED,Pink Current,2.080000,,0,Foreign Ordinary Shares,Australia,
OZFRY,OFX GROUP LTD UNSP/ADR,Pink Current,5.000000,,0,ADRs,Australia,New South Wales
TLGRF,TALGA GROUP LTD,Pink Current,1.140000,-0.436700,39257,Foreign Ordinary Shares,Australia,Western Australia
FFTTF,FATFISH GROUP LTD,Pink Current,0.022400,,0,Foreign Ordinary Shares,Australia,Victoria
SHTLF,SOUTH32 LTD ORD,Pink Current,2.800000,-4.109600,100,Foreign Ordinary Shares,Australia,
SOUHY,SOUTH32 LTD SPNS/ADR,Pink Current,14.200000,0.211700,35049,ADRs,Australia,
NUHRF,NUHEARA LTD,Pink Current,0.017000,,0,Foreign Ordinary Shares,Australia,Western Australia
QBBHY,QUBE HLDGS LTD UNSP/ADR,Pink Current,0.000000,,0,ADRs,Australia,New South Wales
CAZGF,CATAPULT GROUP INTL LTD,Pink Current,1.365000,,0,Foreign Ordinary Shares,Australia,Victoria
BLMMF,BLACKMORES LTD ORD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,New South Wales
ARRNF,AMERICAN RARE EARTHS LTD,Pink Current,0.133000,,0,Foreign Ordinary Shares,Australia,New South Wales
PILBF,PILBARA MINERALS LTD ORD,Pink Current,1.580000,-0.597700,52026,Foreign Ordinary Shares,Australia,Western Australia
BRYYF,AMANI GOLD LTD ORD,Pink Current,0.001850,-2.631600,511644476,Foreign Ordinary Shares,Australia,Western Australia
SLGGF,SOLGOLD PLC ORD,Pink Current,0.390000,,0,Foreign Ordinary Shares,Australia,Queensland
SLVMF,SILVER MINES LTD SYDNEY,Pink Current,0.103500,,0,Foreign Ordinary Shares,Australia,New South Wales
ACNNF,AUSCANN GROUP HLDGS LTD,Pink Current,0.078500,9.867000,45075,Foreign Ordinary Shares,Australia,Western Australia
LTHHF,LITHIUM PWR INTL LTD ORD,Pink Current,0.327500,1.080200,12501,Foreign Ordinary Shares,Australia,New South Wales
MGCLF,MGC PHARMA LTD ORD,Pink Current,0.037800,-2.072500,45411,Foreign Ordinary Shares,Australia,Western Australia
MMJJF,MMJ GROUP HLDGS LTD,Pink Current,0.055000,4.961800,625,Foreign Ordinary Shares,Australia,Western Australia
RTTGF,RTG MNG INC ORD,Pink Current,0.103100,,0,Foreign Ordinary Shares,Australia,Western Australia
MDBIF,MEDIBIO LTD,Pink Current,0.006500,,0,Foreign Ordinary Shares,Australia,Victoria
TPBTF,BETMAKERS TECH GRP LTD,Pink Current,0.900000,,0,Foreign Ordinary Shares,Australia,New South Wales
BWXXF,BWX LIMITED ORD,Pink Current,3.093400,,0,Foreign Ordinary Shares,Australia,Victoria
CNGGF,CANN GROUP LTD,Pink Current,0.228220,-4.109200,9300,Foreign Ordinary Shares,Australia,Victoria
TGGRF,TARUGA GOLD LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,Western Australia
RFGPF,RETAIL FOOD GROUP LTD,Pink Current,0.065000,,0,Foreign Ordinary Shares,Australia,Queensland
CALRF,CALIDUS RESOURCES LTD,Pink Current,0.500000,,0,Foreign Ordinary Shares,Australia,Western Australia
CBBHF,COBALT BLUE HLDGS,Pink Current,0.301000,-5.878700,4900,Foreign Ordinary Shares,Australia,New South Wales
VTEXF,VENTUREX RESOURCES LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,Western Australia
CCNNF,CONNECTED IO LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,Western Australia
ARDDF,ARDIDEN LTD ORD,Pink Current,0.000100,,0,Foreign Ordinary Shares,Australia,Western Australia
HDRPF,EPSILON HEALTHCARE LTD,Pink Current,0.235000,,0,Foreign Ordinary Shares,Australia,New South Wales
RRRDF,RED RIVER RESOURCE LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,Victoria
CLLFF,COLLINS FOODS LTD NWMKT,Pink Current,4.700000,,0,Foreign Ordinary Shares,Australia,Queensland
IMMFF,OMNI BRIDGEWAY LTD,Pink Current,2.750000,,0,Foreign Ordinary Shares,Australia,New South Wales
