Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
AMB-USD,0.041618302,2021/11/12,12:25 GMT,6.407723E-4,0.040798306,0.042716265,0.039769247,721583,,,,,,,
QASH-USD,0.08193687,2021/11/12,12:26 GMT,-0.0013974085,0.08288848,0.08558385,0.08069406,524808,,,,,,,
MASS-USD,0.2964306,2021/11/12,12:26 GMT,-0.007715434,0.29869097,0.30105174,0.2958533,1482266,,,,,,,
HC-USD,0.6493874,2021/11/12,12:25 GMT,-0.0120027065,0.6547829,0.6639155,0.6375515,3187654,,,,,,,
OBSR-USD,0.007463855,2021/11/12,12:26 GMT,1.2015458E-5,0.0074029076,0.007815777,0.0072613694,1139662,,,,,,,
NAS-USD,0.50992644,2021/11/12,12:25 GMT,0.006239116,0.5255092,0.538779,0.50095487,6324836,,,,,,,
NMC-USD,2.0939188,2021/11/12,12:26 GMT,-0.014505386,2.1196346,2.1473615,2.086236,7288,,,,,,,
NAV-USD,0.43126515,2021/11/12,12:26 GMT,-0.002062589,0.446173,0.44886667,0.42196494,228342,,,,,,,
MHC-USD,0.0109361885,2021/11/12,12:25 GMT,4.8401766E-5,0.011813318,0.012123199,0.010856283,1441573,,,,,,,
CHI-USD,0.6801074,2021/11/12,12:26 GMT,0.019920707,0.6779134,0.68714136,0.64821595,198293,,,,,,,
WICC-USD,0.16041647,2021/11/12,12:26 GMT,-6.2663853E-4,0.16290876,0.16290876,0.15946016,3183780,,,,,,,
VAL1-USD,7.8045697,2021/11/12,12:25 GMT,-0.48681688,8.141807,8.390209,7.7294383,3914219,,,,,,,
FSN-USD,0.50526106,2021/11/12,12:25 GMT,-0.031126857,0.5330902,0.53739756,0.504681,3468960,,,,,,,
ZANO-USD,3.2948303,2021/11/12,12:26 GMT,-0.09087038,3.3868444,3.413258,3.233557,365083,,,,,,,
PPC-USD,1.3412114,2021/11/12,12:25 GMT,0.0047496557,1.3854582,1.4472842,1.2640805,519320,,,,,,,
KRT-USD,8.6111383E-4,2021/11/12,12:25 GMT,8.401851E-5,6.4847356E-4,8.739575E-4,6.4312015E-4,67714,,,,,,,
GRIN-USD,0.4264814,2021/11/12,12:26 GMT,0.001752615,0.42325085,0.43136695,0.41351825,3505911,,,,,,,
